Transaction Date,Post Date,Description,Category,Type,Amount
06/04/2020,06/05/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
06/01/2020,06/02/2020,NYTIMES,Bills & Utilities,Sale,-16.00
06/01/2020,06/02/2020,AT&amp;T*BILL PAYMENT,Bills & Utilities,Sale,-69.00
06/01/2020,06/01/2020,Audible*MY0H793W1,Bills & Utilities,Sale,-14.95
05/31/2020,06/01/2020,DOORDASH*URBAN PLATES,Food & Drink,Sale,-46.28
05/28/2020,05/31/2020,BAAGAN,Food & Drink,Sale,-33.82
05/31/2020,05/31/2020,TFK OLO #1015,Food & Drink,Sale,-62.24
05/25/2020,05/28/2020,SPROUTS FARMERS MARSSS,Groceries,Return,13.47
05/25/2020,05/27/2020,SPROUTS FARMERS MAR,Groceries,Sale,-6.98
05/25/2020,05/27/2020,SPROUTS FARMERS MAR,Groceries,Sale,-31.48
05/25/2020,05/26/2020,APPLE.COM/BILL,Shopping,Sale,-29.99
05/24/2020,05/25/2020,TRADER JOE'S #246,Groceries,Sale,-262.04
05/24/2020,05/25/2020,CHEVRON 0305610,Gas,Sale,-27.74
05/24/2020,05/24/2020,DOORDASH*C CASA,Food & Drink,Sale,-49.89
05/21/2020,05/24/2020,BAAGAN,Food & Drink,Sale,-34.11
05/18/2020,05/19/2020,AMZN Mktp US*M72E15ZH1,Shopping,Sale,-5.62
05/18/2020,05/18/2020,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-220.65
05/14/2020,05/17/2020,BAAGAN,Food & Drink,Sale,-31.63
05/15/2020,05/15/2020,Payment Thank You - Web,,Payment,303.00
05/13/2020,05/14/2020,Amazon.com*VL3H69R53,Shopping,Sale,-100.00
05/13/2020,05/14/2020,APPLE.COM/BILL,Shopping,Sale,-9.99
05/13/2020,05/14/2020,Amazon Prime,Bills & Utilities,Return,129.12
05/07/2020,05/10/2020,BAAGAN,Food & Drink,Sale,-34.36
05/08/2020,05/10/2020,WHOLEFDS RAM 10126,Groceries,Sale,-130.28
05/07/2020,05/08/2020,DOORDASH*CALIFORNIA PI,Food & Drink,Sale,-22.78
05/05/2020,05/06/2020,AMZN Mktp US*X02M012G3,Shopping,Sale,-29.50
05/05/2020,05/05/2020,APPLE.COM/BILL,Shopping,Sale,-0.99
05/03/2020,05/04/2020,AMZN Mktp US*SF33L7NJ3,Shopping,Sale,-9.78
