Baseline Data,,,,Pandemic Data,,,,,,Centers > 10,,,,,,High Prevalence States,,,,,,Open the Whole Time,,,,
State,Town/County/City,Age Ranges,Single or Multiple Locations?,Opening Details,Number of Students Served During Pandemic,Number of Staff During Pandemic,COVID-19 Cases in Children,COVID-19 Cases in Staff,,Kids,Staff,Kid COVID,Staff COVID,Count,,Count of Kids,Count of Staff,Kids COVID,Staff COVID,Total Centers,,Kids,Staff,Kid COVID,Staff COVID,Count
Washington,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,4,,0,0,,0,0,0,0,0,,4,,0,0,1,,,,,,
Connecticut,New Haven,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Multiple,Open the whole time,25,19,0,2,,25,19,0,2,1,,0,0,0,0,0,,4,,0,0,1
Connecticut,Stanford,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,10,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Illinois,Cook County,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,60,20,2,0,,60,20,2,0,1,,0,0,0,0,0,,0,0,0,0,0
Wisconsin ,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,40,,0,1,,40,,0,1,1,,0,0,0,0,0,,60,20,2,0,1
California,San Francisco,2 to 4 years,Single,Closed for a portion,12,,0,0,,12,,0,0,1,,12,,0,0,1,,0,0,0,0,0
Minnesota,Hennepin,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,30,,0,0,,30,,0,0,1,,0,0,0,0,0,,12,,0,0,1
Minnesota,Multiple,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Open the whole time,250,41,0,0,,250,41,0,0,1,,0,0,0,0,0,,30,,0,0,1
Minnesota,Hennepin,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Open the whole time,100,30,0,2,,100,30,0,2,1,,0,0,0,0,0,,250,41,0,0,1
Oregon,Lane,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,100,30,0,2,1
California,San Francisco,"6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,4,2,0,0,,0,0,0,0,0,,4,2,0,0,1,,5,1,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years",Single,Closed for a portion,8,5,0,0,,0,0,0,0,0,,8,5,0,0,1,,0,0,0,0,0
Pennsylvania ,Dauphin,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Closed for a portion,0,6,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Maryland,Prince Georges,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,6,0,0,1
Washington,Thurston,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,8,1,0,0,,0,0,0,0,0,,8,1,0,0,1,,6,1,0,0,1
Kansas,Johnson,"2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,20,4,0,0,,20,4,0,0,1,,0,0,0,0,0,,0,0,0,0,0
California,Orange County,"5 to 10 years, Over 10",Multiple,Closed for a portion,20,6,0,0,,20,6,0,0,1,,20,6,0,0,1,,0,0,0,0,0
California,Santa Cruz,"2 to 4 years, 5 to 10 years",Single,Closed for a portion,43,11,0,0,,43,11,0,0,1,,43,11,0,0,1,,0,0,0,0,0
California,Fontana,"2 to 4 years, 5 to 10 years",Single,Open the whole time,5,1,0,,,0,0,0,0,0,,5,1,0,,1,,43,11,0,0,1
Texas,Frio,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,30,6,0,0,,30,6,0,0,1,,0,0,0,0,0,,5,1,0,,1
Texas ,Bell,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,45,6,0,0,,45,6,0,0,1,,0,0,0,0,0,,30,6,0,0,1
Maryland,Calvert,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,7,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Texas,Williamson,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,65,15,0,0,,65,15,0,0,1,,0,0,0,0,0,,7,1,0,0,1
California,Santa Clara,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,2,1,0,0,,0,0,0,0,0,,2,1,0,0,1,,65,15,0,0,1
California,Contra Costa,2 to 4 years,Single,Closed for a portion,20,6,0,0,,20,6,0,0,1,,20,6,0,0,1,,0,0,0,0,0
Massachusetts,,"6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,6,0,0,1
Oregon,Lane,2 to 4 years,Single,Open the whole time,5,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,1,0,0,1
Georgia,Newton,"1 to 2 years, 2 to 4 years",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,5,2,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,20,12,0,0,,20,12,0,0,1,,20,12,0,0,1,,0,0,0,0,0
Washington,King County,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,4,2,0,0,,0,0,0,0,0,,4,2,0,0,1,,20,12,0,0,1
Oregon,Deschutes,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,30,7,0,0,,30,7,0,0,1,,0,0,0,0,0,,4,2,0,0,1
Arizona,Maricopa,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,100,30,0,0,,100,30,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Michigan,Calhoun,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,25,6,0,0,,25,6,0,0,1,,0,0,0,0,0,,100,30,0,0,1
California,Riverside,"2 to 4 years, 5 to 10 years, Over 10",Multiple,Closed for a portion,15,6,0,0,,15,6,0,0,1,,15,6,0,0,1,,0,0,0,0,0
