,Event ID,Ack.,Event Type,Event Code,Plant,Asset,Start Time,End Time,Duration,Energy Loss  (kWh),Rate Loss  (kWh / h),Work Order,Work Order Status,Controllable,Responsibility,Level 1,Level 2,Level 3,Level 4,Level 5,Level 4,Level 5,NERC Performance,FEH Level 1,FEH Level 2,System,Component
,EG-0016219746,UNACK,Inverter Degraded,PF200 - Production Degraded,047 - San Diego Inspiration Point,INV04 - INV - 4,11/05/2019 13:00:00,,0d 00:42:19,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016219661,UNACK,Inverter Degraded,PF200 - Production Degraded,006 - City of San Diego- Point Loma Library,INV01 - INV-1,11/05/2019 12:40:00,,0d 01:02:19,10.25193,9.87,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016200056,UNACK,Plant Comm Loss,PF400 - Communication Issue,009 - Kings Highway,009 - Kings Highway,11/05/2019 13:10:00,,0d 03:32:19,,,Create,,Controllable,O&M,,,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,,,,,
,EG-0016217778,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV10 - INVERTER 10,11/05/2019 09:15:00,,0d 04:27:19,63.81795,14.32,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217624,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV07 - INVERTER 7,11/05/2019 09:15:00,,0d 04:27:19,64.27208,14.42,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217782,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV01 - INVERTER 1,11/05/2019 09:15:00,,0d 04:27:19,67.52427,15.15,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217788,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV08 - INVERTER 8,11/05/2019 09:15:00,,0d 04:27:19,63.91485,14.34,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217496,UNACK,Plant Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,042 - Stockton East Water District -  Low Side - Ph.II,11/05/2019 09:10:00,,0d 04:32:19,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217630,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV06 - INVERTER 6,11/05/2019 09:10:00,,0d 04:32:19,67.28337,14.82,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217627,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV02 - INVERTER 2,11/05/2019 09:10:00,,0d 04:32:19,69.0062,15.2,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217775,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV15 - INVERTER 15,11/05/2019 09:10:00,,0d 04:32:19,43.86221,9.66,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217776,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV03 - INVERTER 3,11/05/2019 09:10:00,,0d 04:32:19,67.76698,14.93,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217777,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV05 - INVERTER 5,11/05/2019 09:10:00,,0d 04:32:19,68.02494,14.99,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217494,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV09 - INVERTER 9,11/05/2019 09:10:00,,0d 04:32:19,67.04723,14.77,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217783,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV13 - INVERTER 13,11/05/2019 09:05:00,,0d 04:37:19,75.64813,16.37,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217626,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV01 - INVERTER 1,11/05/2019 09:05:00,,0d 04:37:19,77.19599,16.7,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217781,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV03 - INVERTER 3,11/05/2019 09:05:00,,0d 04:37:19,76.97133,16.65,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217497,UNACK,Inverter Degraded,PF200 - Production Degraded,042 - Stockton East Water District -  Low Side - Ph.II,INV04 - INVERTER 4,11/05/2019 09:05:00,,0d 04:37:19,71.29527,15.42,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217784,UNACK,Plant Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,041 - Stockton East Water District -  High Side - Ph.I,11/05/2019 09:00:00,,0d 04:42:19,,,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
,EG-0016217780,UNACK,Inverter Degraded,PF200 - Production Degraded,041 - Stockton East Water District -  High Side - Ph.I,INV07 - INVERTER 7,11/05/2019 09:00:00,,0d 04:42:19,77.83762,16.54,Create,,Controllable,O&M,,,Information Available,Operative,In Service,Partial Performance,Derated - Other,,,,,
